Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,23.83
1,read,4k,1,8,81.95
2,read,4k,8,1,49.38
3,read,4k,8,8,171.95
4,read,4k,32,1,51.16
5,read,4k,32,8,218.28
6,read,64k,1,1,239.3
7,read,64k,1,8,534.14
8,read,64k,8,1,479.11
9,read,64k,8,8,620.39
10,read,64k,32,1,580.13
11,read,64k,32,8,617.49
12,read,1m,1,1,543.85
13,read,1m,1,8,622.24
14,read,1m,8,1,610.16
15,read,1m,8,8,611.99
16,read,1m,32,1,610.63
17,read,1m,32,8,618.66
18,write,4k,1,1,15.59
19,write,4k,1,8,61.89
20,write,4k,8,1,50.64
21,write,4k,8,8,136.72
22,write,4k,32,1,56.94
23,write,4k,32,8,175.31
24,write,64k,1,1,83.8
25,write,64k,1,8,344.65
26,write,64k,8,1,79.67
27,write,64k,8,8,174.44
28,write,64k,32,1,64.34
29,write,64k,32,8,34.29
30,write,1m,1,1,10.59
31,write,1m,1,8,34.47
32,write,1m,8,1,10.82
33,write,1m,8,8,29.2
34,write,1m,32,1,10.86
35,write,1m,32,8,19.78
