Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,25.45
1,read,4k,1,8,81.89
2,read,4k,8,1,50.75
3,read,4k,8,8,169.77
4,read,4k,32,1,51.79
5,read,4k,32,8,231.51
6,read,64k,1,1,217.85
7,read,64k,1,8,514.41
8,read,64k,8,1,458.94
9,read,64k,8,8,596.23
10,read,64k,32,1,560.35
11,read,64k,32,8,591.81
12,read,1m,1,1,520.82
13,read,1m,1,8,589.76
14,read,1m,8,1,582.68
15,read,1m,8,8,596.97
16,read,1m,32,1,594.02
17,read,1m,32,8,599.01
18,write,4k,1,1,14.55
19,write,4k,1,8,60.31
20,write,4k,8,1,48.13
21,write,4k,8,8,112.56
22,write,4k,32,1,56.09
23,write,4k,32,8,146.46
24,write,64k,1,1,89.42
25,write,64k,1,8,279.22
26,write,64k,8,1,88.87
27,write,64k,8,8,136.39
28,write,64k,32,1,59.9
29,write,64k,32,8,29.15
30,write,1m,1,1,10.87
31,write,1m,1,8,44.17
32,write,1m,8,1,10.96
33,write,1m,8,8,25.75
34,write,1m,32,1,11.03
35,write,1m,32,8,31.09
