Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,22.27
1,read,4k,1,8,80.66
2,read,4k,8,1,48.9
3,read,4k,8,8,176.46
4,read,4k,32,1,50.31
5,read,4k,32,8,241.07
6,read,64k,1,1,212.08
7,read,64k,1,8,500.55
8,read,64k,8,1,478.67
9,read,64k,8,8,612.77
10,read,64k,32,1,582.32
11,read,64k,32,8,598.11
12,read,1m,1,1,539.34
13,read,1m,1,8,612.74
14,read,1m,8,1,605.8
15,read,1m,8,8,604.52
16,read,1m,32,1,602.95
17,read,1m,32,8,607.66
18,write,4k,1,1,15.01
19,write,4k,1,8,61.25
20,write,4k,8,1,42.22
21,write,4k,8,8,129.26
22,write,4k,32,1,55.48
23,write,4k,32,8,170.6
24,write,64k,1,1,85.98
25,write,64k,1,8,282.99
26,write,64k,8,1,83.81
27,write,64k,8,8,158.01
28,write,64k,32,1,44.19
29,write,64k,32,8,26.34
30,write,1m,1,1,9.79
31,write,1m,1,8,35.72
32,write,1m,8,1,10.52
33,write,1m,8,8,28.61
34,write,1m,32,1,10.71
35,write,1m,32,8,22.46
