Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.91
1,read,4k,1,8,136.9
2,read,4k,8,1,96.11
3,read,4k,8,8,311.8
4,read,4k,32,1,91.57
5,read,4k,32,8,303.07
6,read,64k,1,1,357.66
7,read,64k,1,8,1690.72
8,read,64k,8,1,1691.45
9,read,64k,8,8,3621.42
10,read,64k,32,1,2110.06
11,read,64k,32,8,3354.88
12,read,1m,1,1,2298.44
13,read,1m,1,8,4346.82
14,read,1m,8,1,4472.73
15,read,1m,8,8,3725.29
16,read,1m,32,1,3688.31
17,read,1m,32,8,3801.77
18,write,4k,1,1,13.08
19,write,4k,1,8,53.91
20,write,4k,8,1,15.63
21,write,4k,8,8,62.25
22,write,4k,32,1,15.74
23,write,4k,32,8,58.5
24,write,64k,1,1,13.98
25,write,64k,1,8,94.62
26,write,64k,8,1,12.79
27,write,64k,8,8,95.1
28,write,64k,32,1,12.09
29,write,64k,32,8,85.65
30,write,1m,1,1,11.91
31,write,1m,1,8,88
32,write,1m,8,1,12.7
33,write,1m,8,8,95.16
34,write,1m,32,1,11.43
35,write,1m,32,8,95
