Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,21.93
1,read,4k,1,8,78.42
2,read,4k,8,1,50.41
3,read,4k,8,8,172.25
4,read,4k,32,1,53.87
5,read,4k,32,8,231.94
6,read,64k,1,1,203.14
7,read,64k,1,8,499.26
8,read,64k,8,1,459.4
9,read,64k,8,8,594.67
10,read,64k,32,1,563.3
11,read,64k,32,8,590.4
12,read,1m,1,1,518.4
13,read,1m,1,8,600.81
14,read,1m,8,1,585.6
15,read,1m,8,8,596.55
16,read,1m,32,1,587.21
17,read,1m,32,8,590.82
18,write,4k,1,1,14.33
19,write,4k,1,8,60.27
20,write,4k,8,1,47.19
21,write,4k,8,8,132.44
22,write,4k,32,1,57.46
23,write,4k,32,8,177.51
24,write,64k,1,1,82.35
25,write,64k,1,8,277.12
26,write,64k,8,1,83.17
27,write,64k,8,8,162.37
28,write,64k,32,1,56.59
29,write,64k,32,8,20.06
30,write,1m,1,1,10.58
31,write,1m,1,8,34.19
32,write,1m,8,1,10.36
33,write,1m,8,8,24.92
34,write,1m,32,1,10.84
35,write,1m,32,8,28.71
