Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,21.78
1,read,4k,1,8,88.05
2,read,4k,8,1,56.04
3,read,4k,8,8,169.21
4,read,4k,32,1,58.11
5,read,4k,32,8,226.28
6,read,64k,1,1,222.45
7,read,64k,1,8,531.49
8,read,64k,8,1,484.54
9,read,64k,8,8,611.74
10,read,64k,32,1,584.7
11,read,64k,32,8,605.08
12,read,1m,1,1,544
13,read,1m,1,8,622.17
14,read,1m,8,1,608.92
15,read,1m,8,8,621.22
16,read,1m,32,1,611.46
17,read,1m,32,8,627.46
18,write,4k,1,1,16.01
19,write,4k,1,8,67.22
20,write,4k,8,1,45.73
21,write,4k,8,8,137.74
22,write,4k,32,1,61.97
23,write,4k,32,8,185.58
24,write,64k,1,1,89.47
25,write,64k,1,8,279.04
26,write,64k,8,1,90.62
27,write,64k,8,8,225.36
28,write,64k,32,1,31.36
29,write,64k,32,8,25.16
30,write,1m,1,1,10.96
31,write,1m,1,8,31.92
32,write,1m,8,1,10.86
33,write,1m,8,8,38.15
34,write,1m,32,1,10.84
35,write,1m,32,8,31.85
