Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,19.76
1,read,4k,1,8,80.38
2,read,4k,8,1,50.62
3,read,4k,8,8,177.26
4,read,4k,32,1,53.38
5,read,4k,32,8,235.41
6,read,64k,1,1,226.28
7,read,64k,1,8,502.59
8,read,64k,8,1,458.36
9,read,64k,8,8,576.39
10,read,64k,32,1,546.96
11,read,64k,32,8,576.13
12,read,1m,1,1,518.12
13,read,1m,1,8,583.68
14,read,1m,8,1,577.04
15,read,1m,8,8,587.26
16,read,1m,32,1,580.55
17,read,1m,32,8,584.37
18,write,4k,1,1,15.03
19,write,4k,1,8,60.1
20,write,4k,8,1,48.03
21,write,4k,8,8,127.58
22,write,4k,32,1,57.3
23,write,4k,32,8,175.91
24,write,64k,1,1,85.41
25,write,64k,1,8,290.3
26,write,64k,8,1,85.7
27,write,64k,8,8,172.34
28,write,64k,32,1,55.21
29,write,64k,32,8,30.73
30,write,1m,1,1,9.72
31,write,1m,1,8,46.88
32,write,1m,8,1,10.54
33,write,1m,8,8,24.2
34,write,1m,32,1,10.47
35,write,1m,32,8,23.4
