Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.6
1,read,4k,1,8,65.54
2,read,4k,8,1,64.38
3,read,4k,8,8,199.67
4,read,4k,32,1,78.94
5,read,4k,32,8,319.03
6,read,64k,1,1,95.31
7,read,64k,1,8,795.61
8,read,64k,8,1,117.5
9,read,64k,8,8,743.39
10,read,64k,32,1,81.63
11,read,64k,32,8,242.13
12,read,1m,1,1,22.83
13,read,1m,1,8,100.24
14,read,1m,8,1,10.75
15,read,1m,8,8,111.42
16,read,1m,32,1,9.84
17,read,1m,32,8,146.5
18,write,4k,1,1,10.53
19,write,4k,1,8,48.88
20,write,4k,8,1,9.34
21,write,4k,8,8,47.45
22,write,4k,32,1,8.16
23,write,4k,32,8,41.54
24,write,64k,1,1,8.58
25,write,64k,1,8,39.76
26,write,64k,8,1,7.83
27,write,64k,8,8,50.88
28,write,64k,32,1,8.71
29,write,64k,32,8,32.77
30,write,1m,1,1,7.67
31,write,1m,1,8,69.67
32,write,1m,8,1,5.54
33,write,1m,8,8,66.71
34,write,1m,32,1,5.43
35,write,1m,32,8,56.57
