Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,22.51
1,read,4k,1,8,125.41
2,read,4k,8,1,74.41
3,read,4k,8,8,299
4,read,4k,32,1,83.3
5,read,4k,32,8,296.22
6,read,64k,1,1,347.82
7,read,64k,1,8,1641.33
8,read,64k,8,1,1363.23
9,read,64k,8,8,3860.15
10,read,64k,32,1,1827.7
11,read,64k,32,8,3454.03
12,read,1m,1,1,2084.23
13,read,1m,1,8,5239.08
14,read,1m,8,1,4775.49
15,read,1m,8,8,3805.12
16,read,1m,32,1,3699.96
17,read,1m,32,8,3847.58
18,write,4k,1,1,13.21
19,write,4k,1,8,49.51
20,write,4k,8,1,15.56
21,write,4k,8,8,58.94
22,write,4k,32,1,14.55
23,write,4k,32,8,59.12
24,write,64k,1,1,14.57
25,write,64k,1,8,92.74
26,write,64k,8,1,12.1
27,write,64k,8,8,95.09
28,write,64k,32,1,10.96
29,write,64k,32,8,95.67
30,write,1m,1,1,11.02
31,write,1m,1,8,102.51
32,write,1m,8,1,11.87
33,write,1m,8,8,94.1
34,write,1m,32,1,11.16
35,write,1m,32,8,98.3
