Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,25.15
1,read,4k,1,8,112.04
2,read,4k,8,1,69.5
3,read,4k,8,8,163.39
4,read,4k,16,1,69.73
5,read,4k,16,8,166.41
6,read,64k,1,1,359.47
7,read,64k,1,8,1398.31
8,read,64k,8,1,961.5
9,read,64k,8,8,3137.22
10,read,64k,16,1,991.73
11,read,64k,16,8,3257.64
12,read,1m,1,1,1958.67
13,read,1m,1,8,4392.9
14,read,1m,8,1,4643.74
15,read,1m,8,8,6641.54
16,read,1m,16,1,5897.55
17,read,1m,16,8,7441.68
18,write,4k,1,1,25.55
19,write,4k,1,8,55.23
20,write,4k,8,1,66.19
21,write,4k,8,8,58.65
22,write,4k,16,1,59.46
23,write,4k,16,8,58.83
24,write,64k,1,1,121.19
25,write,64k,1,8,602
26,write,64k,8,1,120.47
27,write,64k,8,8,476.7
28,write,64k,16,1,11.53
29,write,64k,16,8,92.18
30,write,1m,1,1,12.23
31,write,1m,1,8,47.47
32,write,1m,8,1,12.22
33,write,1m,8,8,33.85
34,write,1m,16,1,14.42
35,write,1m,16,8,36.57
