Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,22.46
1,read,4k,1,8,80.69
2,read,4k,8,1,53.09
3,read,4k,8,8,169.12
4,read,4k,32,1,56.82
5,read,4k,32,8,232.88
6,read,64k,1,1,210.44
7,read,64k,1,8,495.53
8,read,64k,8,1,440.55
9,read,64k,8,8,547.25
10,read,64k,32,1,523.8
11,read,64k,32,8,524.5
12,read,1m,1,1,497.47
13,read,1m,1,8,546.52
14,read,1m,8,1,530.69
15,read,1m,8,8,532.58
16,read,1m,32,1,526.33
17,read,1m,32,8,540.82
18,write,4k,1,1,16.14
19,write,4k,1,8,62.14
20,write,4k,8,1,49.32
21,write,4k,8,8,101.01
22,write,4k,32,1,59.92
23,write,4k,32,8,168.5
24,write,64k,1,1,81.8
25,write,64k,1,8,266.36
26,write,64k,8,1,80.76
27,write,64k,8,8,169.14
28,write,64k,32,1,62.16
29,write,64k,32,8,18.73
30,write,1m,1,1,10.1
31,write,1m,1,8,39.35
32,write,1m,8,1,10.88
33,write,1m,8,8,33.61
34,write,1m,32,1,10.29
35,write,1m,32,8,31.92
