Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,23.91
1,read,4k,1,8,126.77
2,read,4k,8,1,85.3
3,read,4k,8,8,310.73
4,read,4k,32,1,90.28
5,read,4k,32,8,305.54
6,read,64k,1,1,332.84
7,read,64k,1,8,1596.13
8,read,64k,8,1,1347.34
9,read,64k,8,8,3682.07
10,read,64k,32,1,1577.74
11,read,64k,32,8,3427.89
12,read,1m,1,1,2215.46
13,read,1m,1,8,4856.8
14,read,1m,8,1,4808.17
15,read,1m,8,8,3816.8
16,read,1m,32,1,3739.67
17,read,1m,32,8,3825.83
18,write,4k,1,1,11.2
19,write,4k,1,8,52.01
20,write,4k,8,1,14.68
21,write,4k,8,8,54.53
22,write,4k,32,1,14.5
23,write,4k,32,8,61.92
24,write,64k,1,1,14.38
25,write,64k,1,8,94.46
26,write,64k,8,1,11.92
27,write,64k,8,8,87.39
28,write,64k,32,1,11.91
29,write,64k,32,8,87.19
30,write,1m,1,1,12.92
31,write,1m,1,8,95.07
32,write,1m,8,1,11.59
33,write,1m,8,8,95.19
34,write,1m,32,1,11.95
35,write,1m,32,8,57.63
