Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.05
1,read,4k,1,8,132.74
2,read,4k,8,1,86.92
3,read,4k,8,8,306.04
4,read,4k,16,1,92.12
5,read,4k,16,8,343.64
6,read,64k,1,1,352.15
7,read,64k,1,8,1685.93
8,read,64k,8,1,1171.65
9,read,64k,8,8,3999
10,read,64k,16,1,1318.53
11,read,64k,16,8,3852
12,read,1m,1,1,1980.42
13,read,1m,1,8,4832.41
14,read,1m,8,1,4891.19
15,read,1m,8,8,3762.48
16,read,1m,16,1,4356.03
17,read,1m,16,8,3708.12
18,write,4k,1,1,11.16
19,write,4k,1,8,59.71
20,write,4k,8,1,13
21,write,4k,8,8,66.2
22,write,4k,16,1,12.55
23,write,4k,16,8,58.23
24,write,64k,1,1,14.4
25,write,64k,1,8,85.96
26,write,64k,8,1,11.88
27,write,64k,8,8,95.08
28,write,64k,16,1,11.83
29,write,64k,16,8,96.74
30,write,1m,1,1,11.01
31,write,1m,1,8,101.89
32,write,1m,8,1,11.1
33,write,1m,8,8,98.66
34,write,1m,16,1,11.85
35,write,1m,16,8,87.22
