Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,23.74
1,read,4k,1,8,134.43
2,read,4k,8,1,88.38
3,read,4k,8,8,313.15
4,read,4k,32,1,94.63
5,read,4k,32,8,321.6
6,read,64k,1,1,339.09
7,read,64k,1,8,1666.36
8,read,64k,8,1,1249.16
9,read,64k,8,8,3580.65
10,read,64k,32,1,1472.35
11,read,64k,32,8,3247.9
12,read,1m,1,1,1959.7
13,read,1m,1,8,4468.23
14,read,1m,8,1,4416.34
15,read,1m,8,8,3808.33
16,read,1m,32,1,3692.89
17,read,1m,32,8,3814.72
18,write,4k,1,1,11.37
19,write,4k,1,8,57.2
20,write,4k,8,1,15.1
21,write,4k,8,8,66.02
22,write,4k,32,1,15.89
23,write,4k,32,8,65.41
24,write,64k,1,1,13.66
25,write,64k,1,8,94.97
26,write,64k,8,1,11.01
27,write,64k,8,8,100.71
28,write,64k,32,1,12.14
29,write,64k,32,8,85.88
30,write,1m,1,1,12.58
31,write,1m,1,8,97.12
32,write,1m,8,1,12.06
33,write,1m,8,8,95.14
34,write,1m,32,1,11.97
35,write,1m,32,8,94.84
