Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,17.35
1,read,4k,1,8,78.25
2,read,4k,8,1,46.57
3,read,4k,8,8,154.21
4,read,4k,32,1,56.44
5,read,4k,32,8,206.26
6,read,64k,1,1,131.73
7,read,64k,1,8,426.74
8,read,64k,8,1,391.81
9,read,64k,8,8,530.92
10,read,64k,32,1,502.1
11,read,64k,32,8,599.73
12,read,1m,1,1,531.15
13,read,1m,1,8,611.69
14,read,1m,8,1,599.52
15,read,1m,8,8,606.2
16,read,1m,32,1,602.98
17,read,1m,32,8,608.72
18,write,4k,1,1,15.46
19,write,4k,1,8,60.39
20,write,4k,8,1,49.72
21,write,4k,8,8,131.8
22,write,4k,32,1,57.55
23,write,4k,32,8,168.11
24,write,64k,1,1,81.26
25,write,64k,1,8,267.21
26,write,64k,8,1,81.34
27,write,64k,8,8,162.05
28,write,64k,32,1,41.07
29,write,64k,32,8,23.48
30,write,1m,1,1,10.39
31,write,1m,1,8,33.61
32,write,1m,8,1,10.15
33,write,1m,8,8,44.3
34,write,1m,32,1,10.53
35,write,1m,32,8,24.03
