Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,22.19
1,read,4k,1,8,85.38
2,read,4k,8,1,56.19
3,read,4k,8,8,174.59
4,read,4k,32,1,57.97
5,read,4k,32,8,233.32
6,read,64k,1,1,232.64
7,read,64k,1,8,527.56
8,read,64k,8,1,488.56
9,read,64k,8,8,619.8
10,read,64k,32,1,588.93
11,read,64k,32,8,607.39
12,read,1m,1,1,553.92
13,read,1m,1,8,621.35
14,read,1m,8,1,610.31
15,read,1m,8,8,620.02
16,read,1m,32,1,618.7
17,read,1m,32,8,628.42
18,write,4k,1,1,16.06
19,write,4k,1,8,67.22
20,write,4k,8,1,44.17
21,write,4k,8,8,119.24
22,write,4k,32,1,58.33
23,write,4k,32,8,158.87
24,write,64k,1,1,86.33
25,write,64k,1,8,307.24
26,write,64k,8,1,84.68
27,write,64k,8,8,146.18
28,write,64k,32,1,37.92
29,write,64k,32,8,20.7
30,write,1m,1,1,10.67
31,write,1m,1,8,34.15
32,write,1m,8,1,10.75
33,write,1m,8,8,26.07
34,write,1m,32,1,10.93
35,write,1m,32,8,49.47
