Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,15.43
1,read,4k,1,8,58.37
2,read,4k,8,1,49.88
3,read,4k,8,8,132.92
4,read,4k,16,1,53.49
5,read,4k,16,8,140.02
6,read,64k,1,1,194.72
7,read,64k,1,8,686.24
8,read,64k,8,1,649.78
9,read,64k,8,8,1202.58
10,read,64k,16,1,709.99
11,read,64k,16,8,1354.04
12,read,1m,1,1,1000.35
13,read,1m,1,8,2412.9
14,read,1m,8,1,2268.39
15,read,1m,8,8,2703.64
16,read,1m,16,1,2415.2
17,read,1m,16,8,2678.9
18,write,4k,1,1,13.93
19,write,4k,1,8,39.65
20,write,4k,8,1,40.76
21,write,4k,8,8,63.66
22,write,4k,16,1,49.39
23,write,4k,16,8,69.07
24,write,64k,1,1,95.1
25,write,64k,1,8,475.47
26,write,64k,8,1,95.27
27,write,64k,8,8,515.05
28,write,64k,16,1,48.83
29,write,64k,16,8,50.58
30,write,1m,1,1,12.36
31,write,1m,1,8,61.83
32,write,1m,8,1,12.9
33,write,1m,8,8,45.89
34,write,1m,16,1,12.12
35,write,1m,16,8,38.38
