Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,27.47
1,read,4k,1,8,87.32
2,read,4k,8,1,54.71
3,read,4k,8,8,174.27
4,read,4k,32,1,57.24
5,read,4k,32,8,236.91
6,read,64k,1,1,230.99
7,read,64k,1,8,514.35
8,read,64k,8,1,469.75
9,read,64k,8,8,612.53
10,read,64k,32,1,576.43
11,read,64k,32,8,603.14
12,read,1m,1,1,539.04
13,read,1m,1,8,604.33
14,read,1m,8,1,603.89
15,read,1m,8,8,612.19
16,read,1m,32,1,608.17
17,read,1m,32,8,611.55
18,write,4k,1,1,15.56
19,write,4k,1,8,63.69
20,write,4k,8,1,48.16
21,write,4k,8,8,114.8
22,write,4k,32,1,63.17
23,write,4k,32,8,174.15
24,write,64k,1,1,91.96
25,write,64k,1,8,363.03
26,write,64k,8,1,92.65
27,write,64k,8,8,178.22
28,write,64k,32,1,45.5
29,write,64k,32,8,45.3
30,write,1m,1,1,11.31
31,write,1m,1,8,49.48
32,write,1m,8,1,11.27
33,write,1m,8,8,56.96
34,write,1m,32,1,11.25
35,write,1m,32,8,44.11
