Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,27.72
1,read,4k,1,8,82.92
2,read,4k,8,1,49.47
3,read,4k,8,8,167.87
4,read,4k,32,1,50.88
5,read,4k,32,8,219.71
6,read,64k,1,1,227.85
7,read,64k,1,8,513.6
8,read,64k,8,1,479.54
9,read,64k,8,8,611.48
10,read,64k,32,1,577.87
11,read,64k,32,8,602.15
12,read,1m,1,1,539.16
13,read,1m,1,8,626.59
14,read,1m,8,1,606.83
15,read,1m,8,8,609.8
16,read,1m,32,1,609.66
17,read,1m,32,8,614.39
18,write,4k,1,1,14.91
19,write,4k,1,8,60.72
20,write,4k,8,1,41.31
21,write,4k,8,8,127.9
22,write,4k,32,1,54.99
23,write,4k,32,8,167.9
24,write,64k,1,1,85.63
25,write,64k,1,8,290.94
26,write,64k,8,1,86.65
27,write,64k,8,8,147.31
28,write,64k,32,1,40.1
29,write,64k,32,8,42.22
30,write,1m,1,1,10.82
31,write,1m,1,8,22.67
32,write,1m,8,1,10.99
33,write,1m,8,8,31.12
34,write,1m,32,1,10.83
35,write,1m,32,8,17.37
