Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.11
1,read,4k,1,8,81.46
2,read,4k,8,1,50.78
3,read,4k,8,8,167.3
4,read,4k,32,1,52.89
5,read,4k,32,8,235.87
6,read,64k,1,1,206.58
7,read,64k,1,8,511.37
8,read,64k,8,1,470.97
9,read,64k,8,8,602.47
10,read,64k,32,1,569.93
11,read,64k,32,8,604.71
12,read,1m,1,1,532.21
13,read,1m,1,8,620.09
14,read,1m,8,1,606.75
15,read,1m,8,8,613.86
16,read,1m,32,1,603.8
17,read,1m,32,8,617.51
18,write,4k,1,1,15.54
19,write,4k,1,8,65.07
20,write,4k,8,1,49.34
21,write,4k,8,8,128.92
22,write,4k,32,1,54.96
23,write,4k,32,8,175.76
24,write,64k,1,1,87.43
25,write,64k,1,8,314.94
26,write,64k,8,1,86.98
27,write,64k,8,8,220.76
28,write,64k,32,1,51.36
29,write,64k,32,8,23.32
30,write,1m,1,1,10.29
31,write,1m,1,8,31.47
32,write,1m,8,1,10.78
33,write,1m,8,8,34.12
34,write,1m,32,1,11.01
35,write,1m,32,8,17.6
