Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,19.88
1,read,4k,1,8,81.15
2,read,4k,8,1,49.24
3,read,4k,8,8,166.62
4,read,4k,32,1,50.58
5,read,4k,32,8,234.23
6,read,64k,1,1,210.76
7,read,64k,1,8,533.47
8,read,64k,8,1,486.62
9,read,64k,8,8,616.17
10,read,64k,32,1,580.36
11,read,64k,32,8,608.74
12,read,1m,1,1,539.53
13,read,1m,1,8,618.78
14,read,1m,8,1,618.62
15,read,1m,8,8,620.04
16,read,1m,32,1,618.11
17,read,1m,32,8,623.9
18,write,4k,1,1,15.5
19,write,4k,1,8,62.62
20,write,4k,8,1,50.1
21,write,4k,8,8,131.41
22,write,4k,32,1,56.57
23,write,4k,32,8,171.78
24,write,64k,1,1,84.14
25,write,64k,1,8,259.92
26,write,64k,8,1,81.42
27,write,64k,8,8,157.38
28,write,64k,32,1,54.5
29,write,64k,32,8,23.43
30,write,1m,1,1,10.42
31,write,1m,1,8,38.73
32,write,1m,8,1,10.72
33,write,1m,8,8,36.1
34,write,1m,32,1,10.92
35,write,1m,32,8,23.17
