Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.38
1,read,4k,1,8,80.69
2,read,4k,8,1,49.44
3,read,4k,8,8,169.38
4,read,4k,32,1,51.07
5,read,4k,32,8,210.83
6,read,64k,1,1,210.37
7,read,64k,1,8,504.49
8,read,64k,8,1,467.06
9,read,64k,8,8,603.72
10,read,64k,32,1,570.1
11,read,64k,32,8,598.39
12,read,1m,1,1,531.51
13,read,1m,1,8,607.16
14,read,1m,8,1,598.03
15,read,1m,8,8,611.14
16,read,1m,32,1,601.22
17,read,1m,32,8,612.74
18,write,4k,1,1,14.96
19,write,4k,1,8,61.73
20,write,4k,8,1,47.23
21,write,4k,8,8,121.31
22,write,4k,32,1,53.97
23,write,4k,32,8,169.95
24,write,64k,1,1,80.6
25,write,64k,1,8,314.44
26,write,64k,8,1,83.57
27,write,64k,8,8,154.28
28,write,64k,32,1,71.94
29,write,64k,32,8,21.45
30,write,1m,1,1,10.2
31,write,1m,1,8,32.22
32,write,1m,8,1,10.84
33,write,1m,8,8,24.19
34,write,1m,32,1,10.69
35,write,1m,32,8,32
