Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.29
1,read,4k,1,8,81.64
2,read,4k,8,1,49.43
3,read,4k,8,8,167.51
4,read,4k,32,1,51.87
5,read,4k,32,8,223.92
6,read,64k,1,1,222.28
7,read,64k,1,8,502.01
8,read,64k,8,1,478.23
9,read,64k,8,8,595.82
10,read,64k,32,1,573.62
11,read,64k,32,8,594.15
12,read,1m,1,1,536.73
13,read,1m,1,8,614.83
14,read,1m,8,1,603.12
15,read,1m,8,8,600.92
16,read,1m,32,1,605.45
17,read,1m,32,8,606.65
18,write,4k,1,1,14.93
19,write,4k,1,8,61.1
20,write,4k,8,1,46.35
21,write,4k,8,8,124.76
22,write,4k,32,1,54.37
23,write,4k,32,8,173.14
24,write,64k,1,1,82.59
25,write,64k,1,8,295.59
26,write,64k,8,1,76.5
27,write,64k,8,8,138.63
28,write,64k,32,1,56.13
29,write,64k,32,8,25.08
30,write,1m,1,1,10.23
31,write,1m,1,8,37.46
32,write,1m,8,1,10.81
33,write,1m,8,8,23.69
34,write,1m,32,1,10.56
35,write,1m,32,8,31.73
