Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.64
1,read,4k,1,8,133.81
2,read,4k,8,1,74.04
3,read,4k,8,8,304.23
4,read,4k,32,1,69.11
5,read,4k,32,8,348.17
6,read,64k,1,1,362.74
7,read,64k,1,8,1730.49
8,read,64k,8,1,1311.65
9,read,64k,8,8,3886.14
10,read,64k,32,1,1635.57
11,read,64k,32,8,3878.84
12,read,1m,1,1,2500.14
13,read,1m,1,8,5185.16
14,read,1m,8,1,5293.26
15,read,1m,8,8,3994.7
16,read,1m,32,1,3911.51
17,read,1m,32,8,3855.69
18,write,4k,1,1,11.23
19,write,4k,1,8,58.78
20,write,4k,8,1,13.78
21,write,4k,8,8,72.11
22,write,4k,32,1,13.18
23,write,4k,32,8,71.79
24,write,64k,1,1,14.57
25,write,64k,1,8,94.79
26,write,64k,8,1,11.96
27,write,64k,8,8,86.87
28,write,64k,32,1,12.74
29,write,64k,32,8,95.06
30,write,1m,1,1,11.83
31,write,1m,1,8,96.29
32,write,1m,8,1,11.94
33,write,1m,8,8,87.61
34,write,1m,32,1,12.72
35,write,1m,32,8,89.75
