Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,22.26
1,read,4k,1,8,79.4
2,read,4k,8,1,50.47
3,read,4k,8,8,166.17
4,read,4k,32,1,54.09
5,read,4k,32,8,229.61
6,read,64k,1,1,210.41
7,read,64k,1,8,491.59
8,read,64k,8,1,462.13
9,read,64k,8,8,577.73
10,read,64k,32,1,544.4
11,read,64k,32,8,575.64
12,read,1m,1,1,519.07
13,read,1m,1,8,587.21
14,read,1m,8,1,583.22
15,read,1m,8,8,596.04
16,read,1m,32,1,593.14
17,read,1m,32,8,612.09
18,write,4k,1,1,15.33
19,write,4k,1,8,62.88
20,write,4k,8,1,48.68
21,write,4k,8,8,113.96
22,write,4k,32,1,55.1
23,write,4k,32,8,179.73
24,write,64k,1,1,82.65
25,write,64k,1,8,254.58
26,write,64k,8,1,86.41
27,write,64k,8,8,131.38
28,write,64k,32,1,55.12
29,write,64k,32,8,21.61
30,write,1m,1,1,10.62
31,write,1m,1,8,34.03
32,write,1m,8,1,10.83
33,write,1m,8,8,21.09
34,write,1m,32,1,10.74
35,write,1m,32,8,31.04
