Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,21.75
1,read,4k,1,8,70.85
2,read,4k,8,1,52.48
3,read,4k,8,8,160.14
4,read,4k,32,1,56.8
5,read,4k,32,8,213.34
6,read,64k,1,1,180.14
7,read,64k,1,8,408.29
8,read,64k,8,1,356.17
9,read,64k,8,8,438.4
10,read,64k,32,1,413.15
11,read,64k,32,8,430.43
12,read,1m,1,1,398.75
13,read,1m,1,8,443.5
14,read,1m,8,1,431.94
15,read,1m,8,8,438.19
16,read,1m,32,1,433.37
17,read,1m,32,8,442.61
18,write,4k,1,1,13.74
19,write,4k,1,8,57.37
20,write,4k,8,1,43.69
21,write,4k,8,8,83.08
22,write,4k,32,1,52.06
23,write,4k,32,8,161.72
24,write,64k,1,1,84.02
25,write,64k,1,8,269.5
26,write,64k,8,1,82.85
27,write,64k,8,8,164.69
28,write,64k,32,1,80.78
29,write,64k,32,8,44.8
30,write,1m,1,1,10.06
31,write,1m,1,8,39.77
32,write,1m,8,1,10.65
33,write,1m,8,8,36.59
34,write,1m,32,1,10.18
35,write,1m,32,8,26.19
