Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.55
1,read,4k,1,8,131.51
2,read,4k,8,1,85.23
3,read,4k,8,8,317.99
4,read,4k,32,1,81.33
5,read,4k,32,8,298.23
6,read,64k,1,1,348.79
7,read,64k,1,8,1725.08
8,read,64k,8,1,1366.44
9,read,64k,8,8,3502.85
10,read,64k,32,1,1994.19
11,read,64k,32,8,3213.21
12,read,1m,1,1,1974.42
13,read,1m,1,8,4267.11
14,read,1m,8,1,4162.51
15,read,1m,8,8,3706.31
16,read,1m,32,1,3613.96
17,read,1m,32,8,3800.84
18,write,4k,1,1,10.98
19,write,4k,1,8,54.52
20,write,4k,8,1,14.73
21,write,4k,8,8,67.31
22,write,4k,32,1,15.72
23,write,4k,32,8,62.55
24,write,64k,1,1,11.91
25,write,64k,1,8,102.36
26,write,64k,8,1,11.93
27,write,64k,8,8,87.84
28,write,64k,32,1,12.82
29,write,64k,32,8,79.45
30,write,1m,1,1,12.84
31,write,1m,1,8,95.26
32,write,1m,8,1,11.8
33,write,1m,8,8,87.83
34,write,1m,32,1,12.68
35,write,1m,32,8,91.7
