Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.66
1,read,4k,1,8,135.11
2,read,4k,8,1,92.03
3,read,4k,8,8,322.78
4,read,4k,32,1,86.14
5,read,4k,32,8,325.45
6,read,64k,1,1,355.81
7,read,64k,1,8,1711.82
8,read,64k,8,1,1467.96
9,read,64k,8,8,3665.12
10,read,64k,32,1,1884.92
11,read,64k,32,8,3476.27
12,read,1m,1,1,2145.48
13,read,1m,1,8,4856.19
14,read,1m,8,1,4703.13
15,read,1m,8,8,3825.94
16,read,1m,32,1,3728.98
17,read,1m,32,8,3852.88
18,write,4k,1,1,11.13
19,write,4k,1,8,55.95
20,write,4k,8,1,14.13
21,write,4k,8,8,65.94
22,write,4k,32,1,14.58
23,write,4k,32,8,66.2
24,write,64k,1,1,13.66
25,write,64k,1,8,94.58
26,write,64k,8,1,11.84
27,write,64k,8,8,87.01
28,write,64k,32,1,12.58
29,write,64k,32,8,94.16
30,write,1m,1,1,11.87
31,write,1m,1,8,94.61
32,write,1m,8,1,11.17
33,write,1m,8,8,99.98
34,write,1m,32,1,11.96
35,write,1m,32,8,89.64
