Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,18.48
1,read,4k,1,8,74.26
2,read,4k,8,1,50.27
3,read,4k,8,8,168.48
4,read,4k,32,1,56.74
5,read,4k,32,8,228.08
6,read,64k,1,1,179.02
7,read,64k,1,8,475.91
8,read,64k,8,1,421.17
9,read,64k,8,8,538.17
10,read,64k,32,1,512.46
11,read,64k,32,8,533.72
12,read,1m,1,1,498.2
13,read,1m,1,8,568.09
14,read,1m,8,1,543.89
15,read,1m,8,8,524.57
16,read,1m,32,1,539.73
17,read,1m,32,8,563.2
18,write,4k,1,1,12.32
19,write,4k,1,8,57.71
20,write,4k,8,1,40.45
21,write,4k,8,8,101.65
22,write,4k,32,1,55.46
23,write,4k,32,8,150.18
24,write,64k,1,1,77.23
25,write,64k,1,8,288.84
26,write,64k,8,1,82.11
27,write,64k,8,8,158.78
28,write,64k,32,1,60.48
29,write,64k,32,8,27.14
30,write,1m,1,1,10.27
31,write,1m,1,8,29.97
32,write,1m,8,1,10.66
33,write,1m,8,8,24.15
34,write,1m,32,1,10.51
35,write,1m,32,8,21.48
