Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.91
1,read,4k,1,8,132.22
2,read,4k,8,1,95.08
3,read,4k,8,8,294.96
4,read,4k,32,1,87.86
5,read,4k,32,8,348.66
6,read,64k,1,1,356.08
7,read,64k,1,8,1731.12
8,read,64k,8,1,1377.4
9,read,64k,8,8,3791.23
10,read,64k,32,1,1369.2
11,read,64k,32,8,3438.02
12,read,1m,1,1,2079.68
13,read,1m,1,8,5017
14,read,1m,8,1,4927.57
15,read,1m,8,8,3922.07
16,read,1m,32,1,3734.54
17,read,1m,32,8,3836.1
18,write,4k,1,1,12.99
19,write,4k,1,8,52.37
20,write,4k,8,1,14.33
21,write,4k,8,8,56.26
22,write,4k,32,1,15.11
23,write,4k,32,8,59.21
24,write,64k,1,1,14.49
25,write,64k,1,8,86.86
26,write,64k,8,1,12.9
27,write,64k,8,8,87.58
28,write,64k,32,1,12.9
29,write,64k,32,8,93.35
30,write,1m,1,1,11.9
31,write,1m,1,8,95.83
32,write,1m,8,1,11.13
33,write,1m,8,8,100.26
34,write,1m,32,1,12.03
35,write,1m,32,8,91.77
