Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,27.04
1,read,4k,1,8,112.57
2,read,4k,8,1,65.07
3,read,4k,8,8,162.02
4,read,4k,16,1,69.83
5,read,4k,16,8,165.33
6,read,64k,1,1,368.16
7,read,64k,1,8,1392.66
8,read,64k,8,1,993.26
9,read,64k,8,8,3143.99
10,read,64k,16,1,999.38
11,read,64k,16,8,3200.19
12,read,1m,1,1,2113.38
13,read,1m,1,8,4133.91
14,read,1m,8,1,4630.84
15,read,1m,8,8,6313.23
16,read,1m,16,1,5452.13
17,read,1m,16,8,7032.73
18,write,4k,1,1,26.41
19,write,4k,1,8,55.69
20,write,4k,8,1,66.22
21,write,4k,8,8,59.57
22,write,4k,16,1,65.81
23,write,4k,16,8,60.47
24,write,64k,1,1,122.25
25,write,64k,1,8,600.6
26,write,64k,8,1,119.01
27,write,64k,8,8,590.81
28,write,64k,16,1,10.77
29,write,64k,16,8,101.84
30,write,1m,1,1,11.62
31,write,1m,1,8,53.02
32,write,1m,8,1,11.87
33,write,1m,8,8,45.88
34,write,1m,16,1,11.79
35,write,1m,16,8,38.01
