Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,26.4
1,read,4k,1,8,113.71
2,read,4k,8,1,69.06
3,read,4k,8,8,167.33
4,read,4k,16,1,68.43
5,read,4k,16,8,171.64
6,read,64k,1,1,358.66
7,read,64k,1,8,1399.32
8,read,64k,8,1,927.19
9,read,64k,8,8,3130.97
10,read,64k,16,1,948.13
11,read,64k,16,8,3340.84
12,read,1m,1,1,2099.58
13,read,1m,1,8,4460.82
14,read,1m,8,1,4581.19
15,read,1m,8,8,6665.02
16,read,1m,16,1,5451.79
17,read,1m,16,8,7294.78
18,write,4k,1,1,26.79
19,write,4k,1,8,55.05
20,write,4k,8,1,64.16
21,write,4k,8,8,59.45
22,write,4k,16,1,67.57
23,write,4k,16,8,60.4
24,write,64k,1,1,121.48
25,write,64k,1,8,473.21
26,write,64k,8,1,119.63
27,write,64k,8,8,596.67
28,write,64k,16,1,11.66
29,write,64k,16,8,88.39
30,write,1m,1,1,12.96
31,write,1m,1,8,46.52
32,write,1m,8,1,11.17
33,write,1m,8,8,37.84
34,write,1m,16,1,11.08
35,write,1m,16,8,42.99
