Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.83
1,read,4k,1,8,127.9
2,read,4k,8,1,89.75
3,read,4k,8,8,318.88
4,read,4k,32,1,84.72
5,read,4k,32,8,345.88
6,read,64k,1,1,360.96
7,read,64k,1,8,1675.01
8,read,64k,8,1,1464.81
9,read,64k,8,8,3763.49
10,read,64k,32,1,1557.98
11,read,64k,32,8,3615.61
12,read,1m,1,1,2185.61
13,read,1m,1,8,4921.07
14,read,1m,8,1,4919.05
15,read,1m,8,8,3799.05
16,read,1m,32,1,3721.67
17,read,1m,32,8,3809.92
18,write,4k,1,1,13.16
19,write,4k,1,8,51.94
20,write,4k,8,1,15.5
21,write,4k,8,8,57.96
22,write,4k,32,1,14.3
23,write,4k,32,8,59.7
24,write,64k,1,1,14.41
25,write,64k,1,8,86.52
26,write,64k,8,1,12.43
27,write,64k,8,8,98.4
28,write,64k,32,1,11.58
29,write,64k,32,8,84.75
30,write,1m,1,1,12.48
31,write,1m,1,8,93.19
32,write,1m,8,1,12
33,write,1m,8,8,87.84
34,write,1m,32,1,12.08
35,write,1m,32,8,99.6
