Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,25.19
1,read,4k,1,8,137.46
2,read,4k,8,1,88.01
3,read,4k,8,8,353.9
4,read,4k,32,1,67.72
5,read,4k,32,8,375.59
6,read,64k,1,1,358.72
7,read,64k,1,8,1700.22
8,read,64k,8,1,1435.78
9,read,64k,8,8,3808.37
10,read,64k,32,1,1942
11,read,64k,32,8,3547.81
12,read,1m,1,1,2048.92
13,read,1m,1,8,4845.99
14,read,1m,8,1,4811.36
15,read,1m,8,8,3798.5
16,read,1m,32,1,3669.01
17,read,1m,32,8,3801.92
18,write,4k,1,1,11.86
19,write,4k,1,8,60.69
20,write,4k,8,1,13.15
21,write,4k,8,8,69.06
22,write,4k,32,1,13.17
23,write,4k,32,8,67.26
24,write,64k,1,1,12.5
25,write,64k,1,8,101.99
26,write,64k,8,1,10.95
27,write,64k,8,8,102.27
28,write,64k,32,1,11.04
29,write,64k,32,8,95.53
30,write,1m,1,1,11.94
31,write,1m,1,8,87.64
32,write,1m,8,1,12.7
33,write,1m,8,8,94.16
34,write,1m,32,1,11.93
35,write,1m,32,8,88.27
