Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.78
1,read,4k,1,8,84.8
2,read,4k,8,1,54.2
3,read,4k,8,8,173.11
4,read,4k,32,1,56.68
5,read,4k,32,8,233.15
6,read,64k,1,1,212.45
7,read,64k,1,8,503.33
8,read,64k,8,1,471.8
9,read,64k,8,8,598.91
10,read,64k,32,1,571.74
11,read,64k,32,8,593.42
12,read,1m,1,1,529.65
13,read,1m,1,8,616.42
14,read,1m,8,1,601.97
15,read,1m,8,8,613.09
16,read,1m,32,1,608.46
17,read,1m,32,8,618.78
18,write,4k,1,1,16.88
19,write,4k,1,8,68.13
20,write,4k,8,1,46.74
21,write,4k,8,8,140.57
22,write,4k,32,1,62.57
23,write,4k,32,8,178.64
24,write,64k,1,1,84.24
25,write,64k,1,8,244.37
26,write,64k,8,1,81.27
27,write,64k,8,8,186.45
28,write,64k,32,1,35.6
29,write,64k,32,8,20.1
30,write,1m,1,1,10.89
31,write,1m,1,8,31.21
32,write,1m,8,1,10.44
33,write,1m,8,8,28.12
34,write,1m,32,1,10.62
35,write,1m,32,8,25.25
