Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,19.15
1,read,4k,1,8,81.13
2,read,4k,8,1,49.75
3,read,4k,8,8,165.44
4,read,4k,32,1,51.27
5,read,4k,32,8,234.7
6,read,64k,1,1,213.77
7,read,64k,1,8,529.61
8,read,64k,8,1,472.04
9,read,64k,8,8,617.53
10,read,64k,32,1,579.3
11,read,64k,32,8,606.42
12,read,1m,1,1,538.45
13,read,1m,1,8,623.68
14,read,1m,8,1,611.9
15,read,1m,8,8,615.09
16,read,1m,32,1,610.33
17,read,1m,32,8,627.94
18,write,4k,1,1,15.72
19,write,4k,1,8,61.61
20,write,4k,8,1,48.27
21,write,4k,8,8,138.98
22,write,4k,32,1,54.9
23,write,4k,32,8,192.44
24,write,64k,1,1,90.28
25,write,64k,1,8,324.91
26,write,64k,8,1,87.69
27,write,64k,8,8,182.32
28,write,64k,32,1,38.17
29,write,64k,32,8,25.22
30,write,1m,1,1,10.09
31,write,1m,1,8,31.07
32,write,1m,8,1,10.51
33,write,1m,8,8,27.05
34,write,1m,32,1,11.18
35,write,1m,32,8,27.85
