Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.78
1,read,4k,1,8,81.79
2,read,4k,8,1,48.28
3,read,4k,8,8,162.69
4,read,4k,32,1,49.57
5,read,4k,32,8,220.99
6,read,64k,1,1,218.95
7,read,64k,1,8,527.4
8,read,64k,8,1,476.09
9,read,64k,8,8,623.85
10,read,64k,32,1,590.49
11,read,64k,32,8,618.04
12,read,1m,1,1,539.52
13,read,1m,1,8,625.36
14,read,1m,8,1,620
15,read,1m,8,8,619.63
16,read,1m,32,1,621.75
17,read,1m,32,8,630.69
18,write,4k,1,1,15.37
19,write,4k,1,8,61.46
20,write,4k,8,1,47.98
21,write,4k,8,8,110.56
22,write,4k,32,1,55.72
23,write,4k,32,8,179.18
24,write,64k,1,1,84.29
25,write,64k,1,8,284.95
26,write,64k,8,1,79.6
27,write,64k,8,8,118.19
28,write,64k,32,1,41.4
29,write,64k,32,8,47.54
30,write,1m,1,1,9.98
31,write,1m,1,8,36.62
32,write,1m,8,1,10.22
33,write,1m,8,8,25.64
34,write,1m,32,1,10.32
35,write,1m,32,8,21.48
