Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,25.87
1,read,4k,1,8,64.78
2,read,4k,8,1,61.19
3,read,4k,8,8,202.06
4,read,4k,32,1,77.88
5,read,4k,32,8,313.53
6,read,64k,1,1,101.27
7,read,64k,1,8,717.01
8,read,64k,8,1,99.72
9,read,64k,8,8,899.72
10,read,64k,32,1,65.81
11,read,64k,32,8,77.73
12,read,1m,1,1,21.54
13,read,1m,1,8,111.95
14,read,1m,8,1,9.65
15,read,1m,8,8,141.59
16,read,1m,32,1,10.84
17,read,1m,32,8,133.64
18,write,4k,1,1,9.87
19,write,4k,1,8,51.98
20,write,4k,8,1,9.03
21,write,4k,8,8,43.55
22,write,4k,32,1,9.01
23,write,4k,32,8,36.51
24,write,64k,1,1,7.75
25,write,64k,1,8,40.38
26,write,64k,8,1,7.68
27,write,64k,8,8,48.65
28,write,64k,32,1,8.99
29,write,64k,32,8,38.05
30,write,1m,1,1,7.54
31,write,1m,1,8,55.18
32,write,1m,8,1,6.68
33,write,1m,8,8,50.78
34,write,1m,32,1,8.07
35,write,1m,32,8,29.28
