Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,26.95
1,read,4k,1,8,82.42
2,read,4k,8,1,50.57
3,read,4k,8,8,166.63
4,read,4k,32,1,51.57
5,read,4k,32,8,215.92
6,read,64k,1,1,209.44
7,read,64k,1,8,503.71
8,read,64k,8,1,479.02
9,read,64k,8,8,620.86
10,read,64k,32,1,570.38
11,read,64k,32,8,605.64
12,read,1m,1,1,531.24
13,read,1m,1,8,612.97
14,read,1m,8,1,602.85
15,read,1m,8,8,605.27
16,read,1m,32,1,605.9
17,read,1m,32,8,614.75
18,write,4k,1,1,15.39
19,write,4k,1,8,61.59
20,write,4k,8,1,48.89
21,write,4k,8,8,120.83
22,write,4k,32,1,56
23,write,4k,32,8,170.05
24,write,64k,1,1,91.88
25,write,64k,1,8,325.05
26,write,64k,8,1,89.12
27,write,64k,8,8,182.44
28,write,64k,32,1,49.94
29,write,64k,32,8,32.52
30,write,1m,1,1,10.63
31,write,1m,1,8,27.85
32,write,1m,8,1,10.94
33,write,1m,8,8,27.4
34,write,1m,32,1,11.05
35,write,1m,32,8,19.71
