Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,16.03
1,read,4k,1,8,61.71
2,read,4k,8,1,57.44
3,read,4k,8,8,132.92
4,read,4k,16,1,54.7
5,read,4k,16,8,142.43
6,read,64k,1,1,218.6
7,read,64k,1,8,704.99
8,read,64k,8,1,635.22
9,read,64k,8,8,1275.29
10,read,64k,16,1,725.22
11,read,64k,16,8,1421.11
12,read,1m,1,1,1345.98
13,read,1m,1,8,2501.23
14,read,1m,8,1,2559.71
15,read,1m,8,8,2857.7
16,read,1m,16,1,2732.26
17,read,1m,16,8,1769.77
18,write,4k,1,1,14.46
19,write,4k,1,8,41.5
20,write,4k,8,1,45.44
21,write,4k,8,8,67.03
22,write,4k,16,1,53.03
23,write,4k,16,8,69.56
24,write,64k,1,1,103.42
25,write,64k,1,8,493.87
26,write,64k,8,1,85.24
27,write,64k,8,8,480.43
28,write,64k,16,1,10.43
29,write,64k,16,8,70.74
30,write,1m,1,1,10.64
31,write,1m,1,8,72.45
32,write,1m,8,1,11.19
33,write,1m,8,8,54.97
34,write,1m,16,1,11.09
35,write,1m,16,8,26.37
