Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,23.27
1,read,4k,1,8,64.86
2,read,4k,8,1,63.05
3,read,4k,8,8,196.9
4,read,4k,32,1,82.06
5,read,4k,32,8,306.59
6,read,64k,1,1,93.3
7,read,64k,1,8,779.93
8,read,64k,8,1,107.62
9,read,64k,8,8,760.47
10,read,64k,32,1,75.52
11,read,64k,32,8,134.86
12,read,1m,1,1,11.02
13,read,1m,1,8,109.88
14,read,1m,8,1,9.47
15,read,1m,8,8,117.39
16,read,1m,32,1,9.58
17,read,1m,32,8,114.13
18,write,4k,1,1,9.15
19,write,4k,1,8,51.57
20,write,4k,8,1,9.61
21,write,4k,8,8,43.93
22,write,4k,32,1,8.46
23,write,4k,32,8,35.52
24,write,64k,1,1,7.91
25,write,64k,1,8,44.83
26,write,64k,8,1,8.74
27,write,64k,8,8,37
28,write,64k,32,1,8.54
29,write,64k,32,8,47.82
30,write,1m,1,1,9.53
31,write,1m,1,8,38.57
32,write,1m,8,1,7.25
33,write,1m,8,8,65.68
34,write,1m,32,1,4.81
35,write,1m,32,8,42.75
