Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,21.91
1,read,4k,1,8,82.87
2,read,4k,8,1,54.82
3,read,4k,8,8,169.54
4,read,4k,32,1,57.56
5,read,4k,32,8,228.7
6,read,64k,1,1,209.89
7,read,64k,1,8,483.49
8,read,64k,8,1,453.56
9,read,64k,8,8,560.18
10,read,64k,32,1,517.92
11,read,64k,32,8,542.9
12,read,1m,1,1,501.95
13,read,1m,1,8,553.07
14,read,1m,8,1,541.54
15,read,1m,8,8,562.46
16,read,1m,32,1,541.39
17,read,1m,32,8,553.25
18,write,4k,1,1,16.27
19,write,4k,1,8,64.44
20,write,4k,8,1,42.84
21,write,4k,8,8,120.44
22,write,4k,32,1,61.73
23,write,4k,32,8,173.08
24,write,64k,1,1,86.47
25,write,64k,1,8,267.17
26,write,64k,8,1,83.46
27,write,64k,8,8,163.47
28,write,64k,32,1,35.15
29,write,64k,32,8,40.25
30,write,1m,1,1,10.03
31,write,1m,1,8,38.22
32,write,1m,8,1,10.83
33,write,1m,8,8,24.5
34,write,1m,32,1,10.73
35,write,1m,32,8,31.62
