Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,24.62
1,read,4k,1,8,135.55
2,read,4k,8,1,93.4
3,read,4k,8,8,336.04
4,read,4k,32,1,91.95
5,read,4k,32,8,323.78
6,read,64k,1,1,358.46
7,read,64k,1,8,1766.2
8,read,64k,8,1,1195.68
9,read,64k,8,8,3959.79
10,read,64k,32,1,1467.21
11,read,64k,32,8,3852.93
12,read,1m,1,1,2164.45
13,read,1m,1,8,5120.25
14,read,1m,8,1,5036.23
15,read,1m,8,8,3858.43
16,read,1m,32,1,3890.59
17,read,1m,32,8,3909.83
18,write,4k,1,1,11.9
19,write,4k,1,8,56.12
20,write,4k,8,1,13.46
21,write,4k,8,8,60.92
22,write,4k,32,1,13.61
23,write,4k,32,8,57.16
24,write,64k,1,1,14.35
25,write,64k,1,8,94.41
26,write,64k,8,1,10.95
27,write,64k,8,8,99.07
28,write,64k,32,1,12.24
29,write,64k,32,8,82.31
30,write,1m,1,1,12.57
31,write,1m,1,8,96.88
32,write,1m,8,1,11.87
33,write,1m,8,8,94.06
34,write,1m,32,1,11.41
35,write,1m,32,8,99.2
