Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,20.94
1,read,4k,1,8,86.17
2,read,4k,8,1,54.8
3,read,4k,8,8,171.11
4,read,4k,32,1,58.22
5,read,4k,32,8,228.32
6,read,64k,1,1,210.76
7,read,64k,1,8,496.02
8,read,64k,8,1,471.39
9,read,64k,8,8,588.66
10,read,64k,32,1,557.53
11,read,64k,32,8,583.73
12,read,1m,1,1,539.96
13,read,1m,1,8,599.78
14,read,1m,8,1,600.21
15,read,1m,8,8,606.79
16,read,1m,32,1,602.16
17,read,1m,32,8,617.71
18,write,4k,1,1,15.86
19,write,4k,1,8,63.98
20,write,4k,8,1,44.13
21,write,4k,8,8,123.72
22,write,4k,32,1,62.8
23,write,4k,32,8,182.47
24,write,64k,1,1,85.45
25,write,64k,1,8,342.33
26,write,64k,8,1,86.01
27,write,64k,8,8,174.2
28,write,64k,32,1,24.91
29,write,64k,32,8,27.92
30,write,1m,1,1,10.86
31,write,1m,1,8,30.58
32,write,1m,8,1,10.71
33,write,1m,8,8,22.15
34,write,1m,32,1,10.56
35,write,1m,32,8,30.97
