Group ID,Pattern,Block Size,IO Depth,Jobs,Mb/s
0,read,4k,1,1,23.86
1,read,4k,1,8,80.9
2,read,4k,8,1,49.28
3,read,4k,8,8,170.42
4,read,4k,32,1,51.36
5,read,4k,32,8,234.34
6,read,64k,1,1,206.08
7,read,64k,1,8,506.72
8,read,64k,8,1,465.82
9,read,64k,8,8,618.68
10,read,64k,32,1,568.68
11,read,64k,32,8,602.06
12,read,1m,1,1,529.67
13,read,1m,1,8,606.61
14,read,1m,8,1,602.47
15,read,1m,8,8,607.51
16,read,1m,32,1,602.65
17,read,1m,32,8,606.42
18,write,4k,1,1,15.31
19,write,4k,1,8,61.04
20,write,4k,8,1,41.43
21,write,4k,8,8,137.45
22,write,4k,32,1,55.81
23,write,4k,32,8,168.2
24,write,64k,1,1,78.65
25,write,64k,1,8,278.08
26,write,64k,8,1,80.65
27,write,64k,8,8,156.45
28,write,64k,32,1,15.9
29,write,64k,32,8,50.03
30,write,1m,1,1,10.45
31,write,1m,1,8,47.91
32,write,1m,8,1,10.59
33,write,1m,8,8,36.3
34,write,1m,32,1,10.75
35,write,1m,32,8,22.93
